tweet_id	var	text	topic	fuck	ass	cunt	wtf	lmfao	shit	cock	n_id
1539035427147255800	au	@LukePGavin Blows my mind how many people support such shitty behaviour from blokes who play sport. Just wild!	web	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1
1539035476677771300	au	@garrytomo @Alphagen3 @PatrickGormanMP @AusElectoralCom @AlboMP How about her maiden speech to parliament? Remember the swamped by Asians bullshit. I’ve never seen so much racism jammed into a 5 minute time slot.	military	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1
1539035655795523600	au	@EVERALDATLARGE Sorry club of hearing about the fast rail every time an election is rolled out.  Make a fucking decision and do it.	medical	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1
1539035710706942e3	au	@SlaveofP 😂Little do all the men know they voted to fuck Brad Pitt or Oscar.🤣	politics	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1
1539035842462863400	au	Seeking gratification from people online got to be some sick mental health shit	education	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1
1539035850637398e3	au	@Deb_Waffles2020 alright, let's get this out of the way, here's a really BIG cock pic ladies! 😎 https://t.co/dlCLvF7Ad4	other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1
1539036002295357400	au	"Dr: Any allergies? 
Me: No, just bullshit 
*cue collective chuckle* 
Dr: Going to apply the antiseptic solution to the area now. It’s room temp so it won’t be cold 
Me: Umm that’s cold! 
Dr: Sorry!
Me: I call bullshit & we’ve already addressed that I’m allergic, Doc! Sheesh! 🤣"	education	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2
1539036070624563200	au	"@alex_abads What did Justin do that put him at fault.
Nobody was at fault. It's a fucking wardrobe malfunction. That happened like 15 years ago. Move on"	medical	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2
1539036269455474700	au	WTF, Twitter? Why on earth would you suspend a fun account like this? The Twit-Lords are so cruel! https://t.co/WRGeUFCDYr	politics	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	2
1539036460569227300	au	@loopytarantino you could burn ur fave songs onto a CD and give it to him :)) or some places even do it on vinyl! framed photos and maybe just a box of stuff/snacks he loves. we don’t need expensive shit, thoughtful stuff is way better imo! good luck <3	foreign	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1
1539036593398304800	au	"@lynnstfuuu @Sardonicus_Rose #Amber certainly is the full package!
-Abuser🤮
-False accuser🤮
-Wicked liar🤮
-Manipulative🤮
-Self serving🤮
-User🤮
-Fake, disingenuos🤮
-Unrepenting🤮
-Selfish🤮
-No moral compass🤮
-Mentally unwell🤕
Thats one crazy ass box of chocolates!😵‍💫
#AmberHeardIsAPsychopath"	politics	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	3
1539037058647396400	au	@heinyhxc @Ari_Is_Bored I mean she's dating me. That's pretty fucking gay	crime	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1
1539037332187357200	au	@Chartoc Man you are spot on there. Holy shit what a bad movie	web	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2
1539037504971604e3	au	@omieshots @slimeynoodlex he wants to fuck my wet butt so bad	other	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2
1539037551155368e3	au	Our healthcare system is fucked (obviously) but to get a fairly routine procedure I was told 6-9 months wait in public. Going private I've already booked for Friday 🤬	medical	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3
1539037611850965e3	au	@CommuneQueen hmmm idk. I've never done any gay shit with you. Sounds to me like you're coping	web	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3
1539037612299591700	au	@a_betting This year both the Melbourne derby and the f3 derby bought more excitement than the once world renowned Sydney derby, or what I like to call it, the shit-ney derby	sports	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1
1539037634005463e3	au	@SammyStein111 A musician and a nurse I am. I’m never happy with my work in either field. I never feel good enough. Ever. And I doubt myself every day. Every fucking day.	family	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1
